#;Date and time;Second;Microsecond
122;2023-04-15 22:15:34.692240;34;692240
123;2023-04-15 22:15:34.703241;34;703241
124;2023-04-15 22:15:34.713762;34;713762
125;2023-04-15 22:15:34.726273;34;726273
126;2023-04-15 22:15:34.737786;34;737786
127;2023-04-15 22:15:34.755786;34;755786
128;2023-04-15 22:15:34.766786;34;766786
129;2023-04-15 22:15:34.777787;34;777787
130;2023-04-15 22:15:34.811808;34;811808
131;2023-04-15 22:15:34.830808;34;830808
132;2023-04-15 22:15:34.841809;34;841809
133;2023-04-15 22:15:34.852812;34;852812
134;2023-04-15 22:15:34.863808;34;863808
135;2023-04-15 22:15:34.874810;34;874810
136;2023-04-15 22:15:34.888358;34;888358
137;2023-04-15 22:15:34.901358;34;901358
138;2023-04-15 22:15:34.912360;34;912360
139;2023-04-15 22:15:34.927359;34;927359
140;2023-04-15 22:15:34.943369;34;943369
141;2023-04-15 22:15:34.964360;34;964360
142;2023-04-15 22:15:34.975360;34;975360
143;2023-04-15 22:15:34.986360;34;986360
144;2023-04-15 22:15:35.012869;35;12869
145;2023-04-15 22:15:35.023870;35;23870
146;2023-04-15 22:15:35.034871;35;34871
147;2023-04-15 22:15:35.084871;35;84871
148;2023-04-15 22:15:35.096883;35;96883
149;2023-04-15 22:15:35.109872;35;109872
150;2023-04-15 22:15:35.120870;35;120870
151;2023-04-15 22:15:35.132899;35;132899
152;2023-04-15 22:15:35.143899;35;143899
153;2023-04-15 22:15:35.161898;35;161898
154;2023-04-15 22:15:35.190900;35;190900
155;2023-04-15 22:15:35.201938;35;201938
156;2023-04-15 22:15:35.243929;35;243929
157;2023-04-15 22:15:35.258928;35;258928
158;2023-04-15 22:15:35.277928;35;277928
159;2023-04-15 22:15:35.309932;35;309932
160;2023-04-15 22:15:35.320928;35;320928
161;2023-04-15 22:15:35.335929;35;335929
162;2023-04-15 22:15:35.346928;35;346928
163;2023-04-15 22:15:35.358930;35;358930
164;2023-04-15 22:15:35.371929;35;371929
165;2023-04-15 22:15:35.385930;35;385930
166;2023-04-15 22:15:35.435930;35;435930
167;2023-04-15 22:15:35.446929;35;446929
168;2023-04-15 22:15:35.469928;35;469928
169;2023-04-15 22:15:35.480928;35;480928
170;2023-04-15 22:15:35.500928;35;500928
171;2023-04-15 22:15:35.512929;35;512929
172;2023-04-15 22:15:35.529928;35;529928
173;2023-04-15 22:15:35.541930;35;541930
174;2023-04-15 22:15:35.553928;35;553928
175;2023-04-15 22:15:35.564929;35;564929
176;2023-04-15 22:15:35.575442;35;575442
177;2023-04-15 22:15:35.592956;35;592956
178;2023-04-15 22:15:35.624986;35;624986
179;2023-04-15 22:15:35.637985;35;637985
180;2023-04-15 22:15:35.648502;35;648502
181;2023-04-15 22:15:35.660496;35;660496
182;2023-04-15 22:15:35.671495;35;671495
183;2023-04-15 22:15:35.682495;35;682495
184;2023-04-15 22:15:35.698497;35;698497
185;2023-04-15 22:15:35.709496;35;709496
186;2023-04-15 22:15:35.720495;35;720495
187;2023-04-15 22:15:35.731495;35;731495
188;2023-04-15 22:15:35.742495;35;742495
189;2023-04-15 22:15:35.753496;35;753496
190;2023-04-15 22:15:35.764495;35;764495
191;2023-04-15 22:15:35.775495;35;775495
192;2023-04-15 22:15:35.786494;35;786494
193;2023-04-15 22:15:35.797496;35;797496
194;2023-04-15 22:15:35.808495;35;808495
195;2023-04-15 22:15:35.819495;35;819495
196;2023-04-15 22:15:35.830496;35;830496
197;2023-04-15 22:15:35.841495;35;841495
